STATE,ST_CASE,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,BIKECTYPE,BIKELOC,BIKEPOS,BIKEDIR,BIKECGP,YEAR,STATENAME,PBPTYPENAME,PBAGENAME,PBSEXNAME,PBCWALKNAME,PBSWALKNAME,PBSZONENAME,BIKECTYPENAME,BIKELOCNAME,BIKEPOSNAME,BIKEDIRNAME,BIKECGPNAME
1,10065,1,6,38,1,0,0,0,231,3,1,1,230,2016,Alabama,Bicyclist,38 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Undetected Bicyclist,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
1,10856,1,6,63,1,0,0,0,144,1,1,2,145,2016,Alabama,Bicyclist,63 Years,Male,None Noted,None Noted,None Noted,Bicyclist Ride Through - Sign-Controlled Intersection,At Intersection,Travel Lane,Facing Traffic,Bicyclist Failed to Yield - Sign-Controlled Intersection
1,10973,1,6,19,1,0,0,0,155,1,1,1,158,2016,Alabama,Bicyclist,19 Years,Male,None Noted,None Noted,None Noted,Bicyclist Ride Through - Signalized Intersection,At Intersection,Travel Lane,With Traffic,Bicyclist Failed to Yield - Signalized Intersection
2,20031,1,6,50,2,0,0,0,235,3,1,1,230,2016,Alaska,Bicyclist,50 Years,Female,None Noted,None Noted,None Noted,Motorist Overtaking - Bicyclist Swerved,Not At Intersection,Travel Lane,With Traffic,Motorist Overtaking Bicyclist
4,40018,1,6,70,2,0,0,0,141,2,2,1,140,2016,Arizona,Bicyclist,70 Years,Female,None Noted,None Noted,None Noted,Motorist Drive Out - Sign-Controlled Intersection,Intersection-Related,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Failed to Yield - Sign-Controlled Intersection
4,40023,1,6,81,1,0,1,0,221,3,1,1,220,2016,Arizona,Bicyclist,81 Years,Male,None Noted,Yes,None Noted,Bicyclist Left Turn - Same Direction,Not At Intersection,Travel Lane,With Traffic,Bicyclist Left Turn / Merge
4,40035,1,6,50,1,1,1,0,155,1,1,1,158,2016,Arizona,Bicyclist,50 Years,Male,Yes,Yes,None Noted,Bicyclist Ride Through - Signalized Intersection,At Intersection,Travel Lane,With Traffic,Bicyclist Failed to Yield - Signalized Intersection
4,40069,1,6,33,2,0,1,0,144,2,1,9,145,2016,Arizona,Bicyclist,33 Years,Female,None Noted,Yes,None Noted,Bicyclist Ride Through - Sign-Controlled Intersection,Intersection-Related,Travel Lane,Unknown,Bicyclist Failed to Yield - Sign-Controlled Intersection
4,40076,1,6,63,1,0,1,0,239,3,3,1,230,2016,Arizona,Bicyclist,63 Years,Male,None Noted,Yes,None Noted,Motorist Overtaking - Other/ Unknown,Not At Intersection,Sidewalk  / Crosswalk / Driveway Access,With Traffic,Motorist Overtaking Bicyclist
4,40077,1,6,47,1,0,0,0,232,3,2,1,230,2016,Arizona,Bicyclist,47 Years,Male,None Noted,None Noted,None Noted,Motorist Overtaking - Misjudged Space,Not At Intersection,Bicycle Lane / Paved Shoulder / Parking Lane,With Traffic,Motorist Overtaking Bicyclist
